Sl.No,AOC Date,e-Published Closing Date,Title,Organisation Name,Tender Type,Name of Selected Bidder(s),Address of Selected Bidder(s),Number of Bids Received,Contract Value,row_index
1.,21-Feb-2026 12:00 AM,31-Dec-2025 06:00 PM,REPAIR/REPLACEMENT /MAINTENANCE/CLEANING OF PVC TANK OF VARIOUS CAPACITIES/FLOAT VALVE/GATE VALVE/RO PLANT/WATER PURIFIER ALONG WITH REPAIR OF UNSV BOOSTER PUMP AND CERTAIN CONNECTED WORK AT AF STN NATHATOP/ GEAFU-78/2025-26 / 2025_MES_746647_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE (AF) UDHAMPUR - MES||CWE (AF) JAMMU - MES||GE (AF) UDHAMPUR - MES,Works,PAWAN KUMAR GOVT. CONTRACTORS,,4,1409360,0
2.,28-Jan-2026 12:00 AM,31-Dec-2025 05:15 PM,Fabrication and supply of worm gear set for 20 Inch Scrapper valve (connected to HUT Line) upstream manual isolation valves at BPB Platform/ QY1AL25018 / 2025_ONGC_261147_1,Oil and Natural Gas Corporation Limited||MUMBAI- BASSEIN AND SATELLITE ASSET-ONGC||SURFACE TEAM - ONGC,Services,PR VALVES AND EQUIPMENTS,,3,309784.22,1
3.,05-Mar-2026 12:00 AM,31-Dec-2025 03:00 PM,"GES/PKT/94/2025-26 CERTAIN REPAIR/MAINT/IMPROVEMENT TO EM INSTALLATION i.e. PUMP HOUSE OHTs CI AND GI PIPE LINES, VARIOUS TYPES OF VALVES AND CONNECTED ITEMS, TUBEWELL PUMPSET AND CONNECTED ITEMS, WATER DISINFECTION SYSTEM, ATTENDING DAY TO DAY COMPL/ GES/PKT/94/2025-26 / 2025_MES_746729_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE PATHANKOT - MES||GE (SOUTH) PATHANKOT - MES,Works,M/S ANSHUL ENTERPRISES,,6,2077505,2
4.,14-Mar-2026 12:00 AM,31-Dec-2025 03:00 PM,"GES/PKT/95/2025-26 CERTAIN REPAIR/MAINT/IMPROVEMENT TO EM INSTALLATION i.e. PUMP HOUSE OHTs CI AND GI PIPELINES VARIOUS TYPES OF VALVES AND CONNECTED ITEMS, TUBEWELL, PUMPSET AND CONNECTED ITEMS, WATER DISINFECTION SYSTEM, ATTENDING DAY TO DAY COMPLA/ GES/PKT/95/2025-26 / 2025_MES_746732_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE PATHANKOT - MES||GE (SOUTH) PATHANKOT - MES,Works,M/S GULATI ENGINEERING WORKS,,5,2115468,3
5.,05-Mar-2026 12:00 AM,31-Dec-2025 03:00 PM,"GES/PKT/93/2025-26 CERTAIN REPAIR/MAINT/IMPROVEMENT TO EM INSTALLATION i.e. PUMP HOUSE OHTs CI AND GI PIPE LINES VARIOUS TYPES OF VALVES AND CONNECTED ITEMS, TUBEWELL PUMPSET AND CONNECTED ITEMS, WATER DISINFECTION SYSTEM, ATTENDING DAY TO DAY COMPLA/ GES/PKT/93/2025-26 / 2025_MES_746720_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE PATHANKOT - MES||GE (SOUTH) PATHANKOT - MES,Works,M/S ANSHUL ENTERPRISES,,6,2077505,4
6.,17-Feb-2026 12:00 AM,30-Dec-2025 06:55 PM,SPECIAL REPAIR REPLACEMENT OF ELECTRICAL SLUICE VALVES NRVS FOOT VALVE INCLUDING MISC WATER SUPPLY CONNECTED WORKS AT FATHIMA PH DOUBLE TANK PH AND WATER SUPPLY INSTALLATIONS RENEWAL OF OLD OBSOLETE EARTHING INFRASTRUCTURE AND LIGHTENING PROTECTION/ 8272/E8 / 2025_MES_746618_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE (AF) BANGALORE - MES||CWE (AF) (SOUTH) BANGALORE - MES||GE (Maint) (AF) Jalahalli - MES,Works,Neptune Engineers and Builders,,13,14645276.66,5
7.,01-Apr-2026 09:00 AM,30-Dec-2025 09:00 AM,CONTROL VALVES-HINDALCO/ B7C1Y67463 / B726A00001,BHEL Hyderabad,1,KSB MIL CONTROLS LIMITED,",,CHENNAI",1,0,6
8.,21-May-2026 09:00 AM,30-Dec-2025 09:00 AM,"1"" PRESSURE REDUCING VALVE FOR 341 LPM/ G6A1Y30689 / G626A00019",BHEL Hyderabad,1,"SAMSON CONTROLS PVT LTD.,","SHIRUR TALUQ,SHIRUR TALUQ,PUNE",2,0,7
9.,01-Apr-2026 09:00 AM,30-Dec-2025 09:00 AM,CONTROL VALVES-HINDALCO/ D7A1Z43656 / D726A00001,BHEL Hyderabad,1,KSB MIL CONTROLS LIMITED,",,CHENNAI",1,0,8
10.,21-May-2026 09:00 AM,30-Dec-2025 09:00 AM,"1"" PRESSURE REDUCING VALVE FOR 341 LPM/ G6A1Y39164 / G626A00020",BHEL Hyderabad,1,"I G P ENGINEERS PVT LIMITED,","P O BOX NO. 1380,,P O BOX NO. 1380,,M A D R A S",2,0,9
